id,champ_key,name,title,difficulty,range_type,damage_primary,resource_type,image_path,splash_path,loading_path,tile_path
26,Darius,ダリウス,ノクサスの戦斧,1,Melee,Physical,マナ,/img/champion/Darius.png,/img/splash/Darius_0.jpg,/img/loading/Darius_0.jpg,/img/tiles/Darius_0.jpg
27,Diana,ダイアナ,嘲りの月,2,Melee,Magic,マナ,/img/champion/Diana.png,/img/splash/Diana_0.jpg,/img/loading/Diana_0.jpg,/img/tiles/Diana_0.jpg
28,DrMundo,ドクター・ムンド,ゾウンの狂人,2,Melee,Mixed,なし,/img/champion/DrMundo.png,/img/splash/DrMundo_0.jpg,/img/loading/DrMundo_0.jpg,/img/tiles/DrMundo_0.jpg
29,Draven,ドレイヴン,栄光ある処刑人,3,Ranged,Physical,マナ,/img/champion/Draven.png,/img/splash/Draven_0.jpg,/img/loading/Draven_0.jpg,/img/tiles/Draven_0.jpg
30,Ekko,エコー,砕けた時を渡る少年,3,Melee,Magic,マナ,/img/champion/Ekko.png,/img/splash/Ekko_0.jpg,/img/loading/Ekko_0.jpg,/img/tiles/Ekko_0.jpg
31,Elise,エリス,蜘蛛の女帝,3,Ranged,Magic,マナ,/img/champion/Elise.png,/img/splash/Elise_0.jpg,/img/loading/Elise_0.jpg,/img/tiles/Elise_0.jpg
32,Evelynn,イブリン,苦悶の抱擁,3,Melee,Magic,マナ,/img/champion/Evelynn.png,/img/splash/Evelynn_0.jpg,/img/loading/Evelynn_0.jpg,/img/tiles/Evelynn_0.jpg
33,Ezreal,エズリアル,光の冒険心,2,Ranged,Physical,マナ,/img/champion/Ezreal.png,/img/splash/Ezreal_0.jpg,/img/loading/Ezreal_0.jpg,/img/tiles/Ezreal_0.jpg
34,Fiddlesticks,フィドルスティックス,古の恐怖,3,Ranged,Magic,マナ,/img/champion/Fiddlesticks.png,/img/splash/Fiddlesticks_0.jpg,/img/loading/Fiddlesticks_0.jpg,/img/tiles/Fiddlesticks_0.jpg
35,Fiora,フィオラ,高潔なるデュエリスト,1,Melee,Physical,マナ,/img/champion/Fiora.png,/img/splash/Fiora_0.jpg,/img/loading/Fiora_0.jpg,/img/tiles/Fiora_0.jpg
36,Fizz,フィズ,波間のトリックスター,2,Melee,Magic,マナ,/img/champion/Fizz.png,/img/splash/Fizz_0.jpg,/img/loading/Fizz_0.jpg,/img/tiles/Fizz_0.jpg
37,Galio,ガリオ,伝説の巨像,2,Melee,Magic,マナ,/img/champion/Galio.png,/img/splash/Galio_0.jpg,/img/loading/Galio_0.jpg,/img/tiles/Galio_0.jpg
38,Gangplank,ガングプランク,大海原の大災厄,3,Melee,Physical,マナ,/img/champion/Gangplank.png,/img/splash/Gangplank_0.jpg,/img/loading/Gangplank_0.jpg,/img/tiles/Gangplank_0.jpg
39,Garen,ガレン,デマーシアの勇士,2,Melee,Physical,なし,/img/champion/Garen.png,/img/splash/Garen_0.jpg,/img/loading/Garen_0.jpg,/img/tiles/Garen_0.jpg
40,Gnar,ナー,ミッシングリンク,3,Melee,Physical,怒り,/img/champion/Gnar.png,/img/splash/Gnar_0.jpg,/img/loading/Gnar_0.jpg,/img/tiles/Gnar_0.jpg
41,Gragas,グラガス,騒乱の飲んだくれ,2,Melee,Magic,マナ,/img/champion/Gragas.png,/img/splash/Gragas_0.jpg,/img/loading/Gragas_0.jpg,/img/tiles/Gragas_0.jpg
42,Graves,グレイブス,無法者,1,Ranged,Physical,マナ,/img/champion/Graves.png,/img/splash/Graves_0.jpg,/img/loading/Graves_0.jpg,/img/tiles/Graves_0.jpg
43,Gwen,グウェン,聖なるお針子,2,Melee,Magic,マナ,/img/champion/Gwen.png,/img/splash/Gwen_0.jpg,/img/loading/Gwen_0.jpg,/img/tiles/Gwen_0.jpg
44,Hecarim,ヘカリム,戦場の幻影,2,Melee,Physical,マナ,/img/champion/Hecarim.png,/img/splash/Hecarim_0.jpg,/img/loading/Hecarim_0.jpg,/img/tiles/Hecarim_0.jpg
45,Heimerdinger,ハイマーディンガー,誉れ高き発明王,3,Ranged,Magic,マナ,/img/champion/Heimerdinger.png,/img/splash/Heimerdinger_0.jpg,/img/loading/Heimerdinger_0.jpg,/img/tiles/Heimerdinger_0.jpg
46,Hwei,フェイ,夢想家,3,Ranged,Magic,マナ,/img/champion/Hwei.png,/img/splash/Hwei_0.jpg,/img/loading/Hwei_0.jpg,/img/tiles/Hwei_0.jpg
47,Illaoi,イラオイ,海の女司祭,2,Melee,Physical,マナ,/img/champion/Illaoi.png,/img/splash/Illaoi_0.jpg,/img/loading/Illaoi_0.jpg,/img/tiles/Illaoi_0.jpg
48,Irelia,イレリア,飛刃の舞い手,2,Melee,Physical,マナ,/img/champion/Irelia.png,/img/splash/Irelia_0.jpg,/img/loading/Irelia_0.jpg,/img/tiles/Irelia_0.jpg
49,Ivern,アイバーン,豊緑の神秘,2,Ranged,Magic,マナ,/img/champion/Ivern.png,/img/splash/Ivern_0.jpg,/img/loading/Ivern_0.jpg,/img/tiles/Ivern_0.jpg
50,Janna,ジャンナ,嵐の怒り,2,Ranged,Magic,マナ,/img/champion/Janna.png,/img/splash/Janna_0.jpg,/img/loading/Janna_0.jpg,/img/tiles/Janna_0.jpg
51,JarvanIV,ジャーヴァンⅣ,デマーシアの儀範,2,Melee,Physical,マナ,/img/champion/JarvanIV.png,/img/splash/JarvanIV_0.jpg,/img/loading/JarvanIV_0.jpg,/img/tiles/JarvanIV_0.jpg
52,Jax,ジャックス,最強の武器使い,2,Melee,Mixed,マナ,/img/champion/Jax.png,/img/splash/Jax_0.jpg,/img/loading/Jax_0.jpg,/img/tiles/Jax_0.jpg
53,Jayce,ジェイス,未来への希望,2,Melee,Physical,マナ,/img/champion/Jayce.png,/img/splash/Jayce_0.jpg,/img/loading/Jayce_0.jpg,/img/tiles/Jayce_0.jpg
54,Jhin,ジン,孤高の芸術家,2,Ranged,Physical,マナ,/img/champion/Jhin.png,/img/splash/Jhin_0.jpg,/img/loading/Jhin_0.jpg,/img/tiles/Jhin_0.jpg
55,Jinx,ジンクス,暴走パンクガール,2,Ranged,Physical,マナ,/img/champion/Jinx.png,/img/splash/Jinx_0.jpg,/img/loading/Jinx_0.jpg,/img/tiles/Jinx_0.jpg
56,KSante,カ・サンテ,ナズーマの誇り,3,Melee,Physical,マナ,/img/champion/KSante.png,/img/splash/KSante_0.jpg,/img/loading/KSante_0.jpg,/img/tiles/KSante_0.jpg
57,Kaisa,カイ＝サ,虚無を知る娘,2,Ranged,Mixed,マナ,/img/champion/Kaisa.png,/img/splash/Kaisa_0.jpg,/img/loading/Kaisa_0.jpg,/img/tiles/Kaisa_0.jpg
58,Kalista,カリスタ,復讐の槍,2,Ranged,Physical,マナ,/img/champion/Kalista.png,/img/splash/Kalista_0.jpg,/img/loading/Kalista_0.jpg,/img/tiles/Kalista_0.jpg
59,Karma,カルマ,目覚めし者,2,Ranged,Magic,マナ,/img/champion/Karma.png,/img/splash/Karma_0.jpg,/img/loading/Karma_0.jpg,/img/tiles/Karma_0.jpg
60,Karthus,カーサス,死を歌う者,2,Ranged,Magic,マナ,/img/champion/Karthus.png,/img/splash/Karthus_0.jpg,/img/loading/Karthus_0.jpg,/img/tiles/Karthus_0.jpg
61,Kassadin,カサディン,ヴォイドを歩む者,3,Melee,Magic,マナ,/img/champion/Kassadin.png,/img/splash/Kassadin_0.jpg,/img/loading/Kassadin_0.jpg,/img/tiles/Kassadin_0.jpg
62,Katarina,カタリナ,凶兆の刃,3,Melee,Magic,なし,/img/champion/Katarina.png,/img/splash/Katarina_0.jpg,/img/loading/Katarina_0.jpg,/img/tiles/Katarina_0.jpg
63,Kayle,ケイル,天空の正義,2,Melee,Mixed,マナ,/img/champion/Kayle.png,/img/splash/Kayle_0.jpg,/img/loading/Kayle_0.jpg,/img/tiles/Kayle_0.jpg
64,Kayn,ケイン,無情の影,3,Melee,Physical,マナ,/img/champion/Kayn.png,/img/splash/Kayn_0.jpg,/img/loading/Kayn_0.jpg,/img/tiles/Kayn_0.jpg
65,Kennen,ケネン,雷雲の担い手,2,Ranged,Magic,気,/img/champion/Kennen.png,/img/splash/Kennen_0.jpg,/img/loading/Kennen_0.jpg,/img/tiles/Kennen_0.jpg
66,Khazix,カ＝ジックス,ヴォイドの捕食者,2,Melee,Physical,マナ,/img/champion/Khazix.png,/img/splash/Khazix_0.jpg,/img/loading/Khazix_0.jpg,/img/tiles/Khazix_0.jpg
67,Kindred,キンドレッド,永遠なる狩人,2,Ranged,Physical,マナ,/img/champion/Kindred.png,/img/splash/Kindred_0.jpg,/img/loading/Kindred_0.jpg,/img/tiles/Kindred_0.jpg
68,Kled,クレッド,狂乱の騎兵,2,Melee,Physical,勇気の護り,/img/champion/Kled.png,/img/splash/Kled_0.jpg,/img/loading/Kled_0.jpg,/img/tiles/Kled_0.jpg
69,KogMaw,コグ＝マウ,深淵のアギト,2,Ranged,Mixed,マナ,/img/champion/KogMaw.png,/img/splash/KogMaw_0.jpg,/img/loading/KogMaw_0.jpg,/img/tiles/KogMaw_0.jpg
70,Leblanc,ルブラン,幻惑の奇術師,3,Ranged,Magic,マナ,/img/champion/Leblanc.png,/img/splash/Leblanc_0.jpg,/img/loading/Leblanc_0.jpg,/img/tiles/Leblanc_0.jpg
71,LeeSin,リー・シン,盲目の修行僧,2,Melee,Physical,気,/img/champion/LeeSin.png,/img/splash/LeeSin_0.jpg,/img/loading/LeeSin_0.jpg,/img/tiles/LeeSin_0.jpg
72,Leona,レオナ,暁光の戦士,2,Melee,Magic,マナ,/img/champion/Leona.png,/img/splash/Leona_0.jpg,/img/loading/Leona_0.jpg,/img/tiles/Leona_0.jpg
73,Lillia,リリア,はにかみ屋の花,3,Ranged,Magic,マナ,/img/champion/Lillia.png,/img/splash/Lillia_0.jpg,/img/loading/Lillia_0.jpg,/img/tiles/Lillia_0.jpg
74,Lissandra,リサンドラ,氷の魔女,2,Ranged,Magic,マナ,/img/champion/Lissandra.png,/img/splash/Lissandra_0.jpg,/img/loading/Lissandra_0.jpg,/img/tiles/Lissandra_0.jpg
75,Lucian,ルシアン,不浄殲滅者,2,Ranged,Physical,マナ,/img/champion/Lucian.png,/img/splash/Lucian_0.jpg,/img/loading/Lucian_0.jpg,/img/tiles/Lucian_0.jpg
76,Lulu,ルル,森の妖精使い,2,Ranged,Magic,マナ,/img/champion/Lulu.png,/img/splash/Lulu_0.jpg,/img/loading/Lulu_0.jpg,/img/tiles/Lulu_0.jpg
77,Lux,ラックス,光の才女,2,Ranged,Magic,マナ,/img/champion/Lux.png,/img/splash/Lux_0.jpg,/img/loading/Lux_0.jpg,/img/tiles/Lux_0.jpg
78,Malphite,マルファイト,モノリスの欠片,1,Melee,Magic,マナ,/img/champion/Malphite.png,/img/splash/Malphite_0.jpg,/img/loading/Malphite_0.jpg,/img/tiles/Malphite_0.jpg
79,Malzahar,マルザハール,ヴォイドの予言者,2,Ranged,Magic,マナ,/img/champion/Malzahar.png,/img/splash/Malzahar_0.jpg,/img/loading/Malzahar_0.jpg,/img/tiles/Malzahar_0.jpg
80,Maokai,マオカイ,歪みし樹人,1,Melee,Magic,マナ,/img/champion/Maokai.png,/img/splash/Maokai_0.jpg,/img/loading/Maokai_0.jpg,/img/tiles/Maokai_0.jpg
81,MasterYi,マスター・イー,ウージューの剣客,2,Melee,Physical,マナ,/img/champion/MasterYi.png,/img/splash/MasterYi_0.jpg,/img/loading/MasterYi_0.jpg,/img/tiles/MasterYi_0.jpg
82,Mel,メル,魂の反照,2,Ranged,Magic,マナ,/img/champion/Mel.png,/img/splash/Mel_0.jpg,/img/loading/Mel_0.jpg,/img/tiles/Mel_0.jpg
83,Milio,ミリオ,やさしき炎,2,Ranged,Magic,マナ,/img/champion/Milio.png,/img/splash/Milio_0.jpg,/img/loading/Milio_0.jpg,/img/tiles/Milio_0.jpg
84,MissFortune,ミス・フォーチュン,美貌の賞金稼ぎ,1,Ranged,Physical,マナ,/img/champion/MissFortune.png,/img/splash/MissFortune_0.jpg,/img/loading/MissFortune_0.jpg,/img/tiles/MissFortune_0.jpg
85,MonkeyKing,ウーコン,美猴王,1,Melee,Physical,マナ,/img/champion/MonkeyKing.png,/img/splash/MonkeyKing_0.jpg,/img/loading/MonkeyKing_0.jpg,/img/tiles/MonkeyKing_0.jpg
86,Mordekaiser,モルデカイザー,鋼の魂奪者,2,Melee,Magic,シールド,/img/champion/Mordekaiser.png,/img/splash/Mordekaiser_0.jpg,/img/loading/Mordekaiser_0.jpg,/img/tiles/Mordekaiser_0.jpg
87,Morgana,モルガナ,堕天の高潔,1,Ranged,Magic,マナ,/img/champion/Morgana.png,/img/splash/Morgana_0.jpg,/img/loading/Morgana_0.jpg,/img/tiles/Morgana_0.jpg
88,Naafiri,ナフィーリ,百刃の猟犬,1,Melee,Physical,マナ,/img/champion/Naafiri.png,/img/splash/Naafiri_0.jpg,/img/loading/Naafiri_0.jpg,/img/tiles/Naafiri_0.jpg
89,Nami,ナミ,潮呼びの巫女,2,Ranged,Magic,マナ,/img/champion/Nami.png,/img/splash/Nami_0.jpg,/img/loading/Nami_0.jpg,/img/tiles/Nami_0.jpg
90,Nasus,ナサス,砂漠の司書,2,Melee,Physical,マナ,/img/champion/Nasus.png,/img/splash/Nasus_0.jpg,/img/loading/Nasus_0.jpg,/img/tiles/Nasus_0.jpg
91,Nautilus,ノーチラス,深海の巨人,2,Melee,Magic,マナ,/img/champion/Nautilus.png,/img/splash/Nautilus_0.jpg,/img/loading/Nautilus_0.jpg,/img/tiles/Nautilus_0.jpg
92,Neeko,ニーコ,不思議のカメレオン,2,Ranged,Magic,マナ,/img/champion/Neeko.png,/img/splash/Neeko_0.jpg,/img/loading/Neeko_0.jpg,/img/tiles/Neeko_0.jpg
93,Nidalee,ニダリー,半獣の狩人,3,Ranged,Magic,マナ,/img/champion/Nidalee.png,/img/splash/Nidalee_0.jpg,/img/loading/Nidalee_0.jpg,/img/tiles/Nidalee_0.jpg
94,Nilah,ニーラ,放たれし喜び,3,Melee,Physical,マナ,/img/champion/Nilah.png,/img/splash/Nilah_0.jpg,/img/loading/Nilah_0.jpg,/img/tiles/Nilah_0.jpg
95,Nocturne,ノクターン,終わりなき悪夢,2,Melee,Physical,マナ,/img/champion/Nocturne.png,/img/splash/Nocturne_0.jpg,/img/loading/Nocturne_0.jpg,/img/tiles/Nocturne_0.jpg
96,Nunu,ヌヌ＆ウィルンプ,少年とイエティ,2,Melee,Magic,マナ,/img/champion/Nunu.png,/img/splash/Nunu_0.jpg,/img/loading/Nunu_0.jpg,/img/tiles/Nunu_0.jpg
97,Olaf,オラフ,狂戦士,1,Melee,Physical,マナ,/img/champion/Olaf.png,/img/splash/Olaf_0.jpg,/img/loading/Olaf_0.jpg,/img/tiles/Olaf_0.jpg
98,Orianna,オリアナ,時計仕掛けの舞姫,2,Ranged,Magic,マナ,/img/champion/Orianna.png,/img/splash/Orianna_0.jpg,/img/loading/Orianna_0.jpg,/img/tiles/Orianna_0.jpg
99,Ornn,オーン,山の下の焔,2,Melee,Mixed,マナ,/img/champion/Ornn.png,/img/splash/Ornn_0.jpg,/img/loading/Ornn_0.jpg,/img/tiles/Ornn_0.jpg
100,Pantheon,パンテオン,砕けぬ槍,2,Melee,Physical,マナ,/img/champion/Pantheon.png,/img/splash/Pantheon_0.jpg,/img/loading/Pantheon_0.jpg,/img/tiles/Pantheon_0.jpg
101,Poppy,ポッピー,大鎚の守護者,2,Melee,Physical,マナ,/img/champion/Poppy.png,/img/splash/Poppy_0.jpg,/img/loading/Poppy_0.jpg,/img/tiles/Poppy_0.jpg
102,Pyke,パイク,ブラッドハーバーの殺戮鬼,2,Melee,Physical,マナ,/img/champion/Pyke.png,/img/splash/Pyke_0.jpg,/img/loading/Pyke_0.jpg,/img/tiles/Pyke_0.jpg
103,Qiyana,キヤナ,エレメントの女帝,3,Melee,Physical,マナ,/img/champion/Qiyana.png,/img/splash/Qiyana_0.jpg,/img/loading/Qiyana_0.jpg,/img/tiles/Qiyana_0.jpg
104,Quinn,クイン,デマーシアの両翼,2,Ranged,Physical,マナ,/img/champion/Quinn.png,/img/splash/Quinn_0.jpg,/img/loading/Quinn_0.jpg,/img/tiles/Quinn_0.jpg
105,Rakan,ラカン,魅惑の翼,2,Ranged,Magic,マナ,/img/champion/Rakan.png,/img/splash/Rakan_0.jpg,/img/loading/Rakan_0.jpg,/img/tiles/Rakan_0.jpg
106,Rammus,ラムス,アーマージロ,2,Melee,Magic,マナ,/img/champion/Rammus.png,/img/splash/Rammus_0.jpg,/img/loading/Rammus_0.jpg,/img/tiles/Rammus_0.jpg
107,RekSai,レク＝サイ,地底の恐怖,1,Melee,Physical,怒り,/img/champion/RekSai.png,/img/splash/RekSai_0.jpg,/img/loading/RekSai_0.jpg,/img/tiles/RekSai_0.jpg
108,Rell,レル,鋼鉄の乙女,1,Melee,Magic,マナ,/img/champion/Rell.png,/img/splash/Rell_0.jpg,/img/loading/Rell_0.jpg,/img/tiles/Rell_0.jpg
109,Renata,レナータ・グラスク,ケミテック長者,3,Ranged,Magic,マナ,/img/champion/Renata.png,/img/splash/Renata_0.jpg,/img/loading/Renata_0.jpg,/img/tiles/Renata_0.jpg
110,Renekton,レネクトン,砂漠の解体屋,1,Melee,Physical,フューリー,/img/champion/Renekton.png,/img/splash/Renekton_0.jpg,/img/loading/Renekton_0.jpg,/img/tiles/Renekton_0.jpg
111,Rengar,レンガー,孤高のハンター,3,Melee,Physical,フェロシティ,/img/champion/Rengar.png,/img/splash/Rengar_0.jpg,/img/loading/Rengar_0.jpg,/img/tiles/Rengar_0.jpg
112,Riven,リヴェン,贖罪の追放者,3,Melee,Physical,なし,/img/champion/Riven.png,/img/splash/Riven_0.jpg,/img/loading/Riven_0.jpg,/img/tiles/Riven_0.jpg
113,Rumble,ランブル,戦慄の機甲兵,3,Melee,Magic,ヒート,/img/champion/Rumble.png,/img/splash/Rumble_0.jpg,/img/loading/Rumble_0.jpg,/img/tiles/Rumble_0.jpg
114,Ryze,ライズ,ルーンの魔導師,2,Ranged,Magic,マナ,/img/champion/Ryze.png,/img/splash/Ryze_0.jpg,/img/loading/Ryze_0.jpg,/img/tiles/Ryze_0.jpg
115,Samira,サミーラ,砂漠の薔薇,2,Ranged,Physical,マナ,/img/champion/Samira.png,/img/splash/Samira_0.jpg,/img/loading/Samira_0.jpg,/img/tiles/Samira_0.jpg
116,Sejuani,セジュアニ,極北の激憤,2,Melee,Mixed,マナ,/img/champion/Sejuani.png,/img/splash/Sejuani_0.jpg,/img/loading/Sejuani_0.jpg,/img/tiles/Sejuani_0.jpg
117,Senna,セナ,救済者,2,Ranged,Physical,マナ,/img/champion/Senna.png,/img/splash/Senna_0.jpg,/img/loading/Senna_0.jpg,/img/tiles/Senna_0.jpg
118,Seraphine,セラフィーン,希望のメロディー,1,Ranged,Magic,マナ,/img/champion/Seraphine.png,/img/splash/Seraphine_0.jpg,/img/loading/Seraphine_0.jpg,/img/tiles/Seraphine_0.jpg
119,Sett,セト,ザ・ボス,1,Melee,Physical,闘魂,/img/champion/Sett.png,/img/splash/Sett_0.jpg,/img/loading/Sett_0.jpg,/img/tiles/Sett_0.jpg
120,Shaco,シャコ,悪魔の道化師,3,Melee,Mixed,マナ,/img/champion/Shaco.png,/img/splash/Shaco_0.jpg,/img/loading/Shaco_0.jpg,/img/tiles/Shaco_0.jpg
121,Shen,シェン,黄昏の瞳,2,Melee,Mixed,気,/img/champion/Shen.png,/img/splash/Shen_0.jpg,/img/loading/Shen_0.jpg,/img/tiles/Shen_0.jpg
122,Shyvana,シヴァーナ,半龍人,2,Melee,Mixed,フューリー,/img/champion/Shyvana.png,/img/splash/Shyvana_0.jpg,/img/loading/Shyvana_0.jpg,/img/tiles/Shyvana_0.jpg
123,Singed,シンジド,マッドケミスト,2,Melee,Magic,マナ,/img/champion/Singed.png,/img/splash/Singed_0.jpg,/img/loading/Singed_0.jpg,/img/tiles/Singed_0.jpg
124,Sion,サイオン,不死身の重戦車,2,Melee,Physical,マナ,/img/champion/Sion.png,/img/splash/Sion_0.jpg,/img/loading/Sion_0.jpg,/img/tiles/Sion_0.jpg
125,Sivir,シヴィア,戦場の女王,2,Ranged,Physical,マナ,/img/champion/Sivir.png,/img/splash/Sivir_0.jpg,/img/loading/Sivir_0.jpg,/img/tiles/Sivir_0.jpg
126,Skarner,スカーナー,原始の守護者,2,Melee,Mixed,マナ,/img/champion/Skarner.png,/img/splash/Skarner_0.jpg,/img/loading/Skarner_0.jpg,/img/tiles/Skarner_0.jpg
127,Smolder,スモルダー,炎の幼龍,2,Ranged,Physical,マナ,/img/champion/Smolder.png,/img/splash/Smolder_0.jpg,/img/loading/Smolder_0.jpg,/img/tiles/Smolder_0.jpg
128,Sona,ソナ,沈黙の弦奏師,2,Ranged,Magic,マナ,/img/champion/Sona.png,/img/splash/Sona_0.jpg,/img/loading/Sona_0.jpg,/img/tiles/Sona_0.jpg
129,Soraka,ソラカ,星の子,1,Ranged,Magic,マナ,/img/champion/Soraka.png,/img/splash/Soraka_0.jpg,/img/loading/Soraka_0.jpg,/img/tiles/Soraka_0.jpg
130,Swain,スウェイン,ノクサス帝国元帥,3,Ranged,Magic,マナ,/img/champion/Swain.png,/img/splash/Swain_0.jpg,/img/loading/Swain_0.jpg,/img/tiles/Swain_0.jpg
131,Sylas,サイラス,解き放たれし者,2,Melee,Magic,マナ,/img/champion/Sylas.png,/img/splash/Sylas_0.jpg,/img/loading/Sylas_0.jpg,/img/tiles/Sylas_0.jpg
132,Syndra,シンドラ,暗黒の女王,3,Ranged,Magic,マナ,/img/champion/Syndra.png,/img/splash/Syndra_0.jpg,/img/loading/Syndra_0.jpg,/img/tiles/Syndra_0.jpg
133,TahmKench,タム・ケンチ,川の王様,2,Melee,Magic,マナ,/img/champion/TahmKench.png,/img/splash/TahmKench_0.jpg,/img/loading/TahmKench_0.jpg,/img/tiles/TahmKench_0.jpg
134,Taliyah,タリヤ,ストーンウィーバー,2,Ranged,Magic,マナ,/img/champion/Taliyah.png,/img/splash/Taliyah_0.jpg,/img/loading/Taliyah_0.jpg,/img/tiles/Taliyah_0.jpg
135,Talon,タロン,将軍の懐刀,2,Melee,Physical,マナ,/img/champion/Talon.png,/img/splash/Talon_0.jpg,/img/loading/Talon_0.jpg,/img/tiles/Talon_0.jpg
136,Taric,タリック,ヴァロランの守護者,1,Melee,Magic,マナ,/img/champion/Taric.png,/img/splash/Taric_0.jpg,/img/loading/Taric_0.jpg,/img/tiles/Taric_0.jpg
